,precision,recall,f1-score,support
related,0.8425800631483987,0.943672644607224,0.8902656976051471,3959.0
request,0.7917282127031019,0.5942350332594235,0.6789107029765675,902.0
offer,0.0,0.0,0.0,25.0
aid_related,0.7513566847557968,0.7064007421150278,0.7281855127898638,2156.0
medical_help,0.6410256410256411,0.2900232018561485,0.3993610223642173,431.0
medical_products,0.7218045112781954,0.36363636363636365,0.4836272040302267,264.0
search_and_rescue,0.7111111111111111,0.2119205298013245,0.32653061224489793,151.0
security,0.5,0.009433962264150943,0.018518518518518517,106.0
military,0.632183908045977,0.3142857142857143,0.41984732824427484,175.0
child_alone,0.0,0.0,0.0,0.0
water,0.775,0.6308139534883721,0.6955128205128206,344.0
food,0.766721044045677,0.8020477815699659,0.7839866555462885,586.0
shelter,0.7978142076502732,0.5995893223819302,0.6846424384525205,487.0
clothing,0.76,0.4810126582278481,0.5891472868217054,79.0
money,0.6607142857142857,0.2824427480916031,0.39572192513368987,131.0
missing_people,0.5,0.2,0.28571428571428575,55.0
refugees,0.6231884057971014,0.26875,0.3755458515283843,160.0
death,0.7391304347826086,0.5288888888888889,0.6165803108808291,225.0
other_aid,0.6010928961748634,0.16491754122938532,0.25882352941176473,667.0
infrastructure_related,0.5116279069767442,0.0694006309148265,0.12222222222222223,317.0
transport,0.6744186046511628,0.2543859649122807,0.3694267515923567,228.0
buildings,0.7341772151898734,0.39862542955326463,0.5167037861915368,291.0
electricity,0.5365853658536586,0.21782178217821782,0.3098591549295775,101.0
tools,0.0,0.0,0.0,30.0
hospitals,0.3,0.061224489795918366,0.10169491525423728,49.0
shops,0.0,0.0,0.0,23.0
aid_centers,0.3333333333333333,0.05357142857142857,0.09230769230769231,56.0
other_infrastructure,0.4444444444444444,0.05555555555555555,0.09876543209876543,216.0
weather_related,0.853454821564161,0.7661895023858214,0.8074712643678161,1467.0
floods,0.8528428093645485,0.6159420289855072,0.7152875175315568,414.0
storm,0.7692307692307693,0.6976744186046512,0.7317073170731708,516.0
fire,0.625,0.2727272727272727,0.37974683544303794,55.0
earthquake,0.8876404494382022,0.8012170385395537,0.8422174840085287,493.0
cold,0.8307692307692308,0.4576271186440678,0.5901639344262295,118.0
other_weather,0.5757575757575758,0.14339622641509434,0.229607250755287,265.0
direct_report,0.743202416918429,0.4753623188405797,0.5798467884502062,1035.0
micro avg,0.7933846505601707,0.6279785244616034,0.7010573102565829,16577.0
macro avg,0.596887120825699,0.3536886747868725,0.41994305692856176,16577.0
weighted avg,0.7576847228535799,0.6279785244616034,0.6641845505128657,16577.0
samples avg,0.633433474351335,0.5262068018474654,0.5313132691575019,16577.0
